price,accommodates,bathrooms,bedrooms,beds,Elevator in building,Internet,Family/kid friendly,Wireless Internet,Buzzer/wireless intercom,Kitchen,Doorman,Wheelchair accessible,Cable TV,Hot tub,Gym,Pool,TV,Dryer,Washer,Essentials,Shampoo,Heating,Air conditioning,Pets allowed,Suitable for events,Smoking allowed,Indoor fireplace,Breakfast,Laptop friendly workspace,Iron,Hangers,Hair dryer,Private living room,Private entrance,Parking,restaurant,atm,cinema,hospital,nightclub,park,mall,gallery,museum,supermarket,bus_stop,minimum_nights_MN1,minimum_nights_MN2,minimum_nights_MN3,minimum_nights_MN_,number_of_reviews_H,number_of_reviews_L,number_of_reviews_M,number_of_reviews_O,instant_bookable_f,instant_bookable_t,num_page_saved_H,num_page_saved_L,num_page_saved_M,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict,bed_type_Other,bed_type_Real Bed,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,property_type_Apartment,property_type_Condominium,property_type_House,property_type_Other,calculated_host_listings_count_M,calculated_host_listings_count_S
54,2,2.0,1.0,1.0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,544.0,537,543,7009.0,6683.0,2844,8451.0,8437.0,6352.0,542,553.0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
54,2,1.0,1.0,1.0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,182.0,1194,1112,5772.0,5431.0,3463,7365.0,7364.0,5889.0,336,373.0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1
40,1,1.0,1.0,1.0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,112.0,2014,266,4920.0,4555.0,3831,6548.0,6525.0,5044.0,375,117.0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1
58,1,1.0,1.0,1.0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,474.0,938,958,6184.0,5896.0,3044,7654.0,7645.0,6228.0,483,145.0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0
98,2,1.0,1.0,1.0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,447.0,977,996,6285.0,6033.0,2861,7692.0,7680.0,6074.0,664,139.0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0
85,2,2.5,1.0,1.0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,267.0,277,276,7057.0,6666.0,3121,8588.0,8580.0,6643.0,279,327.0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
89,1,1.0,1.0,1.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,471.0,595,607,6448.0,5939.0,3789,8076.0,7996.0,6580.0,556,434.0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1
60,2,1.0,1.0,1.0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,403.0,644,658,6371.0,5871.0,3775,7999.0,7923.0,6502.0,480,374.0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1
27,2,1.0,1.0,1.0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,473.0,537,516,7423.0,6922.0,3597,9052.0,8981.0,7197.0,529,180.0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1
90,2,1.0,1.0,1.0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,332.0,1747,533,5109.0,4855.0,3673,6675.0,6676.0,5221.0,360,324.0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0
